,Country Name,Confirmed,bevestigd per 1M inwoners
3243,Australia,520,20.806350930558043
3245,Australia,231,9.242821278767131
3246,China,76,0.054569083742003116
3247,Canada,3,0.0809523100227379
3248,China,178,0.1278065382378494
3249,China,1243,0.8924917248856562
3250,Afghanistan,94,2.528758848033053
3251,Albania,174,60.70382950457302
3252,Algeria,367,8.69082768861707
3253,Andorra,224,2908.8642443445965
3254,Angola,4,0.12982898082757016
3255,Antigua and Barbuda,7,72.7000810086617
3256,Argentina,502,11.28229281001954
3257,Armenia,290,98.24593736110056
3258,Austria,6909,780.939426386484
3259,Azerbaijan,122,12.270760567890798
3261,Bahrain,458,291.8240211948346
3262,Bangladesh,44,0.2726888951457218
3263,Barbados,18,62.79632013564006
3264,Belarus,86,9.066578840333962
3265,Belgium,6235,545.8731291041167
3266,Belize,2,5.220964259889159
3267,Benin,6,0.5224183651648647
3268,Bhutan,2,2.65113455303197
3269,Bolivia,43,3.7874977693399767
3270,Bosnia and Herzegovina,191,57.462117873155535
3271,Brazil,2985,14.250296008724103
3273,Bulgaria,264,37.58426563192248
3274,Burkina Faso,152,7.695604417580709
3275,Cabo Verde,4,7.356091855519
3276,Cambodia,96,5.907765745764963
3277,Cameroon,75,2.9742740758662762
3278,Central African Republic,3,0.6428970483953611
3279,Chad,3,0.1938266095636246
3280,Chile,1306,69.73083683411322
3281,Colombia,491,9.889486498987837
3284,Costa Rica,231,46.205165737529455
3285,Cote d'Ivoire,96,3.8293957903531854
3286,Croatia,495,121.04465202719224
3287,Cuba,67,5.909259527446217
3288,Cyprus,146,122.76490101028787
3290,Denmark,1877,323.76325713081246
3292,Djibouti,11,11.471238476619531
3293,Dominica,11,153.5776614310646
3294,Dominican Republic,488,45.92005487822952
3295,Ecuador,1403,82.12190836330568
3297,El Salvador,13,2.02468748169994
3298,Equatorial Guinea,12,9.167485374041043
3300,Estonia,538,407.30298799894615
3301,Eswatini,6,5.280802259479261
3302,Ethiopia,12,0.10986540124185808
3303,Fiji,5,5.659418460796642
3304,Finland,958,173.61205498319154
3305,France,29155,435.23211672956717
3306,Gabon,7,3.3030163617274777
3308,Georgia,79,21.173948003216296
3309,Germany,43938,529.8336065866935
3310,Ghana,132,4.434424734844916
3311,Greece,892,83.14947852599465
